id,timestamp,type,sub_type,decoy.group,attacker.id,decoy.name,decoy.port,decoy.appliance.name,kill_chain_phase,tags,timestamp(Asia/Kolkata)
2022-06-14T15:09:27.026441-recon-af2caf55-9ed3-48f3-9452-6b7985d4fddc,2022-06-14T15:09:12Z,recon,,default1,ip233.208-100-26.static.steadfastdns.net,citrix.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T20:39:12+05:30
2022-06-14T15:09:26.861967-recon-63fcedb9-95e4-4788-8a9e-fb9d7f3cebb4,2022-06-14T15:09:12Z,recon,,default1,ip247.208-100-26.static.steadfastdns.net,citrix.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T20:39:12+05:30
2022-06-14T14:51:02.754695-recon-6e7c82cd-a495-4ad8-b62d-947945135b3c,2022-06-14T14:50:48Z,recon,,default1,198.235.24.27,vpn1.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T20:20:48+05:30
2022-06-14T13:11:14.227004-recon-615914fa-0c93-4038-a216-ebdca0e7d00e,2022-06-14T13:11:00Z,recon,,default1,205.210.31.132,ftp1.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T18:41:00+05:30
2022-06-14T11:03:21.180640-recon-9ea73093-1e2d-4ce3-b524-1e6d480988c6,2022-06-14T11:03:07Z,recon,,default1,198.235.24.149,citrix.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T16:33:07+05:30
2022-06-14T09:33:58.224591-recon-6799c244-12d2-4e39-aa71-6c47d4f5c4b8,2022-06-14T09:33:44Z,recon,,default1,ip235.208-100-26.static.steadfastdns.net,hr.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T15:03:44+05:30
2022-06-14T09:33:57.992254-recon-db9ff59c-00bd-4903-aa16-d2134e71efa2,2022-06-14T09:33:44Z,recon,,default1,ip235.208-100-26.static.steadfastdns.net,hr.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T15:03:44+05:30
2022-06-14T07:26:13.116478-recon-1cb08d44-260e-442c-b05e-84766397954e,2022-06-14T07:25:59Z,recon,,default1,205.210.31.130,payment.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T12:55:59+05:30
2022-06-14T06:36:37.309770-recon-a08fcb60-541d-4fef-9e01-c29eadfcb9f5,2022-06-14T06:36:24Z,recon,,default1,198.235.24.22,ftp1.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T12:06:24+05:30
2022-06-14T05:08:06.931068-recon-553cc0c7-0e21-4bcd-941d-3229b42ee58f,2022-06-14T05:07:53Z,recon,,default1,205.210.31.145,finance.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T10:37:53+05:30
2022-06-14T04:44:17.753447-recon-e8f1cf0a-3bfe-4997-9fa7-78947f6671db,2022-06-14T04:44:04Z,recon,,default1,ec2-18-207-35-230.compute-1.amazonaws.com,citrix.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T10:14:04+05:30
2022-06-14T04:36:17.405173-endpoint-a59e3066-9f1b-49ab-ba4f-771a25195381,2022-06-14T04:36:16Z,endpoint,triage,default1,abgplanet\sandesh,payment.adityabirla.com,,ThreatIntel-52.7.93.27,Privilege Escalation,,2022-06-14T10:06:16+05:30
2022-06-14T04:18:31.327576-recon-e94c95c8-b97c-495e-bde6-2a8c07b450c8,2022-06-14T04:18:18Z,recon,,default1,205.210.31.149,vpn1.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T09:48:18+05:30
2022-06-14T02:59:20.355867-recon-2ea8bc52-1698-4e79-bc7a-f74a4eca2a20,2022-06-14T02:59:07Z,recon,,default1,205.210.31.30,hr.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T08:29:07+05:30
2022-06-13T23:24:48.434209-recon-a4cbe141-3d8f-4eb4-ae89-dc83f35711b8,2022-06-13T23:24:35Z,recon,,default1,198.235.24.9,adfs.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T04:54:35+05:30
2022-06-13T23:22:13.579426-recon-78bc9f7f-8d45-49d8-addc-87e1bf4055ea,2022-06-13T23:22:00Z,recon,,default1,198.235.24.32,dashboard.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T04:52:00+05:30
2022-06-13T22:04:12.575395-recon-29f00835-425a-49cc-9162-c4d19c45fb4d,2022-06-13T22:03:02Z,recon,,default1,223.196.9.68,hr.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T03:33:02+05:30
2022-06-13T20:57:55.607501-recon-ccc54494-3744-4213-bbd6-e77cb5294b5b,2022-06-13T20:57:43Z,recon,,default1,198.235.24.11,hr.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-14T02:27:43+05:30
2022-06-13T18:03:51.265385-recon-572bcb0a-f596-4571-8d96-aab72ae316a2,2022-06-13T18:03:39Z,recon,,default1,ip235.208-100-26.static.steadfastdns.net,reports.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-13T23:33:39+05:30
2022-06-13T18:03:51.119084-recon-199edc2c-3893-4afd-86a0-696a97e51761,2022-06-13T18:03:39Z,recon,,default1,ip235.208-100-26.static.steadfastdns.net,reports.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-13T23:33:39+05:30
2022-06-13T11:26:23.468228-recon-23196168-b280-4178-99ad-762c24a566db,2022-06-13T11:26:12Z,recon,,default1,198.235.24.6,adfs.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-13T16:56:12+05:30
2022-06-12T04:44:37.378907-recon-ac499a95-f182-4836-8e90-ebad907eb1e7,2022-06-12T04:43:43Z,recon,,default1,ec2-18-207-35-230.compute-1.amazonaws.com,citrix.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-12T10:13:43+05:30
